Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,BREED,Bytes,Center Name,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Ecotype,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sex,SRA Study,strain,sub_species,tissue,isolation_source,sample_type
SRR15508608,11,WXS,299,77015419702,PRJNA752630,SAMN20802080,Model organism or animal,mixed,24365447102,UNIVERSITY OF PADUA,public,not applicable,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807841,Illumina NovaSeq 6000,not applicable,cf_Punch53,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:23:00Z,1,10RIN_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508609,7,WXS,302,82715356216,PRJNA752630,SAMN20802079,Model organism or animal,amstaff,25636627872,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807840,Illumina NovaSeq 6000,not applicable,cf_Punch52,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T15:47:00Z,1,9DAN_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508610,5,WXS,302,68610622584,PRJNA752630,SAMN20802078,Model organism or animal,viszla,21211623337,UNIVERSITY OF PADUA,public,not applicable,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807839,Illumina NovaSeq 6000,not applicable,cf_Punch51,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:46:00Z,1,8SCA_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508611,12,WXS,300,80675263627,PRJNA752630,SAMN20802077,Model organism or animal,mixed,27060736682,UNIVERSITY OF PADUA,public,not applicable,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807838,Illumina NovaSeq 6000,not applicable,cf_Punch50,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T14:38:00Z,1,7POL_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508612,4,WXS,302,70431808518,PRJNA752630,SAMN20802076,Model organism or animal,german shepherd,21812862789,UNIVERSITY OF PADUA,public,not applicable,"fastq,run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",not applicable,not applicable,SRX11807837,Illumina NovaSeq 6000,not applicable,cf_Punch49,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:33:00Z,1,6MEL_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508613,9,WXS,302,68410065592,PRJNA752630,SAMN20802075,Model organism or animal,whwt,21071458065,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807836,Illumina NovaSeq 6000,not applicable,cf_Punch48,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:57:00Z,1,5MIC_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508614,5,WXS,302,47794544764,PRJNA752630,SAMN20802104,Model organism or animal,bernese mountain,14464581917,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807835,Illumina NovaSeq 6000,not applicable,cf_Punch77,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T12:14:00Z,1,34PAG_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508615,7,WXS,302,40674829532,PRJNA752630,SAMN20802103,Model organism or animal,mixed,12858207472,UNIVERSITY OF PADUA,public,not applicable,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,SRX11807834,Illumina NovaSeq 6000,not applicable,cf_Punch76,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:18:00Z,1,33GIA_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508616,5,WXS,302,53902781060,PRJNA752630,SAMN20802102,Model organism or animal,rottweiler,16326620379,UNIVERSITY OF PADUA,public,not applicable,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",not applicable,not applicable,SRX11807833,Illumina NovaSeq 6000,not applicable,cf_Punch75,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T13:36:00Z,1,32ROB_dlbcl,female,SRP332589,not applicable,familiaris,Lymph node,,
SRR15508617,5,WXS,302,54195773608,PRJNA752630,SAMN20802101,Model organism or animal,mixed,16340697846,UNIVERSITY OF PADUA,public,not applicable,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",not applicable,not applicable,SRX11807832,Illumina NovaSeq 6000,not applicable,cf_Punch74,PAIRED,PCR,GENOMIC,Canis lupus familiaris,ILLUMINA,2022-08-22T00:00:00Z,2021-08-18T12:43:00Z,1,31GIU_dlbcl,male,SRP332589,not applicable,familiaris,Lymph node,,
