chrom	chromStart	chromEnd	name	gieStain	genome
chr1	0	122678785	noname	gneg	canFam3
chr10	0	69331447	noname	gneg	canFam3
chr11	0	74389097	noname	gneg	canFam3
chr12	0	72498081	noname	gneg	canFam3
chr13	0	63241923	noname	gneg	canFam3
chr14	0	60966679	noname	gneg	canFam3
chr15	0	64190966	noname	gneg	canFam3
chr16	0	59632846	noname	gneg	canFam3
chr17	0	64289059	noname	gneg	canFam3
chr18	0	55844845	noname	gneg	canFam3
chr19	0	53741614	noname	gneg	canFam3
chr2	0	85426708	noname	gneg	canFam3
chr20	0	58134056	noname	gneg	canFam3
chr21	0	50858623	noname	gneg	canFam3
chr22	0	61439934	noname	gneg	canFam3
chr23	0	52294480	noname	gneg	canFam3
chr24	0	47698779	noname	gneg	canFam3
chr25	0	51628933	noname	gneg	canFam3
chr26	0	38964690	noname	gneg	canFam3
chr27	0	45876710	noname	gneg	canFam3
chr28	0	41182112	noname	gneg	canFam3
chr29	0	41845238	noname	gneg	canFam3
chr3	0	91889043	noname	gneg	canFam3
chr30	0	40214260	noname	gneg	canFam3
chr31	0	39895921	noname	gneg	canFam3
chr32	0	38810281	noname	gneg	canFam3
chr33	0	31377067	noname	gneg	canFam3
chr34	0	42124431	noname	gneg	canFam3
chr35	0	26524999	noname	gneg	canFam3
chr36	0	30810995	noname	gneg	canFam3
chr37	0	30902991	noname	gneg	canFam3
chr38	0	23914537	noname	gneg	canFam3
chr4	0	88276631	noname	gneg	canFam3
chr5	0	88915250	noname	gneg	canFam3
chr6	0	77573801	noname	gneg	canFam3
chr7	0	80974532	noname	gneg	canFam3
chr8	0	74330416	noname	gneg	canFam3
chr9	0	61074082	noname	gneg	canFam3
chrX	0	123869142	noname	gneg	canFam3
